"StrategyName"	"UD_EffectsL"	"UD_EffectsQ"	"UD_Costs"	"D_EffectsL"	"D_EffectsQ"	"D_Costs"	"ICER_L"	"ICER_Q"
"75_100_5"	7982458.46183396	7959123.1819442	111814400	1936580.71526182	1935676.96992392	5516309.8	"SD"	"SD"
"80_85_1"	7981803.68414623	7958692.73010033	124014700	1936569.04743909	1935669.83914505	5686464.95	"SD"	"SD"
"80_85_5"	7981358.83463416	7958713.1663443	100834600	1936563.16695616	1935671.30278249	5264039.56	"SD"	"SD"
"80_90_1"	7982048.49747589	7958626.96376516	141561000	1936571.60288153	1935668.48488347	5934594.93	"SD"	"SD"
"80_90_2"	7981825.86640519	7958761.35422981	117548400	1936568.86623723	1935671.19150312	5535809.15	"SD"	"SD"
"80_90_5"	7981434.15400153	7958718.27902798	103531300	1936563.89195961	1935671.25359241	5299280.64	"SD"	"SD"
"80_90_10"	7981207.53429254	7958662.66517349	98606700	1936561.25395268	1935670.87229795	5217058.64	"SD"	"SD"
"80_95_1"	7982086.65770899	7958555.70888171	150233500	1936571.95213256	1935667.66781499	6030330.83	"SD"	"SD"
"80_95_3"	7981733.99635009	7958771.86820226	112189500	1936567.43598625	1935671.59054703	5429814.11	"SD"	"SD"
"80_95_5"	7981439.6631604	7958707.93160742	104741500	1936563.93805833	1935671.14835537	5311285.58	"SD"	"SD"
"80_100_1"	7982086.65770899	7958533.85788171	152430600	1936571.95213256	1935667.47550859	6049671.07	"SD"	"SD"
"80_100_2"	7981856.69591376	7958724.4429841	122512000	1936569.15000474	1935670.79033168	5587583.07	"SD"	"SD"
"80_100_4"	7981542.56788972	7958725.88997208	107659900	1936565.19099504	1935671.26881583	5355848.27	"SD"	"SD"
"80_100_5"	7981439.6631604	7958707.93160742	104741500	1936563.93805833	1935671.14835537	5311285.58	"SD"	"SD"
"80_100_10"	7981207.53429254	7958662.66517349	98606700	1936561.25395268	1935670.87229795	5217058.64	"SD"	"SD"
"85_90_1"	7980813.33223154	7958332.39814299	112712300	1936554.87560893	1935666.24420977	5381053.77	"SD"	"SD"
"85_90_5"	7980622.00014642	7958392.74910043	97900600	1936552.79185091	1935667.43004326	5168461.22	"SD"	"SD"
